frequency,monetary,product_breadth,total_units,primary_country,average_order_value,average_basket_units,cancellation_rate,recency_days,tenure_days,partition,masked_customer_id,cluster,distance_to_centroid,assignment_margin,persona
2,1887.96,63,591,Switzerland,943.98,295.5,0.0,45,15,discovery,afbae5d418f3,1,0.7815735794519166,0.8426739420900341,Established mid-value customers
3,1298.04,34,794,Denmark,432.68,264.6666666666667,0.0,72,225,discovery,7877419940e8,1,0.18915370069118936,1.5571832177810898,Established mid-value customers
1,364.6,14,197,Austria,364.6,197.0,0.0,312,0,discovery,33f7f9f305da,3,0.554678615075322,1.47763978641031,Long-recency customers
2,457.5,14,178,Finland,228.75,89.0,0.05555555555555555,11,88,discovery,aa907b297e74,2,0.9515507482369197,0.5681271991339509,Recent occasional customers
2,1628.12,72,944,Switzerland,814.06,472.0,0.0,316,39,discovery,136ef816f795,1,1.5445173819446005,0.24836408482432026,Established mid-value customers
1,4008.62,219,2529,Switzerland,4008.62,2529.0,0.0,130,0,discovery,668712626b82,1,1.9077287329450086,0.36676066302846366,Established mid-value customers
2,852.24,39,407,Belgium,426.12,203.5,0.024390243902439025,82,89,discovery,444e7234eab3,1,0.6154262695324414,0.7040743923507887,Established mid-value customers
5,1845.31,70,808,Norway,369.062,161.6,0.04395604395604396,5,115,discovery,a27973b07079,0,0.6286437266158953,1.178378834816918,High-value frequent customers
5,1850.56,84,1532,Belgium,370.11199999999997,306.4,0.01,185,168,discovery,47b5c1b92aee,1,1.1152477070456697,1.1110756636216301,Established mid-value customers
6,2780.66,57,1462,Australia,463.4433333333333,243.66666666666666,0.0,16,311,discovery,b09ce37b24c5,0,0.32583837056729914,1.1020249470466614,High-value frequent customers
1,439.66,92,293,Cyprus,439.66,293.0,0.0,22,0,discovery,8dc5e690a5f2,2,0.5384716476232735,1.3298435285188828,Recent occasional customers
4,1582.6000000000001,47,816,Australia,395.65,204.0,0.0,73,260,discovery,5f50990b966f,1,0.4375465264566241,1.1191958286883041,Established mid-value customers
2,1272.48,26,819,Belgium,636.24,409.5,0.0,64,154,discovery,349a2b4e7159,1,0.5897185416254286,0.8605197082083641,Established mid-value customers
12,3018.63,91,2118,Belgium,251.5525,176.5,0.018867924528301886,20,352,discovery,540e8f5e01f8,0,0.5419573502325441,1.1442071645135188,High-value frequent customers
2,2409.9,110,1263,Belgium,1204.9499999999998,631.5,0.0,36,100,discovery,4eb4b8d0f77f,1,0.9613752885426514,0.7018370557081557,Established mid-value customers
1,1635.6599999999999,85,1394,Switzerland,1635.6599999999999,1394.0,0.0,46,0,discovery,6e6a39d5fa1c,2,1.4578714425692187,0.14119871269630502,Recent occasional customers
4,1108.65,47,1178,Belgium,277.1625,294.5,0.0,120,142,discovery,7f1016ae8388,1,0.5788017773272393,1.4357529863898932,Established mid-value customers
1,225.6,11,94,Belgium,225.6,94.0,0.0,324,0,discovery,f47dd7fa99e3,3,0.42761639159614334,1.6469802773484334,Long-recency customers
1,427.7,5,96,Denmark,427.7,96.0,0.16666666666666666,50,0,discovery,33f0984bfa35,2,0.6236621557819015,0.7519539850707422,Recent occasional customers
2,3415.3,92,1818,Denmark,1707.65,909.0,0.027777777777777776,23,161,discovery,a3257353bd9b,1,1.2955521566734252,0.22968423651419445,Established mid-value customers
5,1708.1200000000001,57,1416,Belgium,341.62399999999997,283.2,0.0,50,215,discovery,353ff9f41f72,1,0.6775044445202529,0.5194340705554714,Established mid-value customers
5,2888.55,81,1409,Belgium,577.71,281.8,0.07079646017699115,33,228,discovery,2a4035db33e3,0,0.8367651227564689,0.2174063799273661,High-value frequent customers
2,693.3299999999999,26,211,Switzerland,346.66499999999996,105.5,0.07142857142857142,309,0,discovery,59f7385a647e,3,1.247700015636161,0.2725052167278621,Long-recency customers
3,1226.88,43,829,Denmark,408.96000000000004,276.3333333333333,0.0,75,95,discovery,47bb9b4b23e8,1,0.17013020743588844,1.5926666648403445,Established mid-value customers
3,758.1,29,286,France,252.70000000000002,95.33333333333333,0.05,67,271,discovery,bdbd8a52c269,1,0.25141567042929724,1.252378646881355,Established mid-value customers
3,562.41,16,300,Austria,187.47,100.0,0.0,218,93,discovery,357488e1fa0e,1,1.147624608469349,0.35183158678741355,Established mid-value customers
21,124914.53,444,77374,Australia,5948.310952380953,3684.4761904761904,0.07969151670951156,25,313,discovery,e06153eb8052,0,2.3382147858854694,1.0587897459499627,High-value frequent customers
9,3649.1,158,1552,Belgium,405.4555555555555,172.44444444444446,0.030303030303030304,4,354,discovery,f80cb4e62639,0,0.536221980506276,1.7127019840250197,High-value frequent customers
1,668.58,34,407,Switzerland,668.58,407.0,0.0,113,0,discovery,638ee5d934d5,3,1.0893445158774813,0.21948338516944088,Long-recency customers
1,600.39,29,345,Cyprus,600.39,345.0,0.0,64,0,discovery,aca7febe0eb3,2,0.9120165431034267,0.43632699440433986,Recent occasional customers
3,803.5600000000001,39,370,Australia,267.8533333333333,123.33333333333333,0.0,96,229,discovery,15a73d9a6db2,1,0.37075418504385177,1.2992409725815468,Established mid-value customers
8,1859.31,97,1339,Belgium,232.41375,167.375,0.007936507936507936,1,353,discovery,a014dc726816,0,1.0568624009427257,1.4475067018783208,High-value frequent customers
2,1760.96,30,740,Australia,880.4800000000001,370.0,0.0,163,0,discovery,d23f6a7e9f61,1,1.0360472562706045,0.7935983426638213,Established mid-value customers
3,825.8,26,533,Germany,275.26666666666665,177.66666666666666,0.11428571428571428,22,350,discovery,16cc49258902,1,0.827478525102361,0.5823915878909566,Established mid-value customers
9,7956.46,258,3536,Finland,884.0511111111111,392.8888888888889,0.02,26,258,discovery,183e04fbcc1f,0,0.888770152073544,0.9988913993682162,High-value frequent customers
4,3750.4,82,1557,Denmark,937.6,389.25,0.0,10,356,discovery,335270dc2bf6,0,0.5960081943101925,1.030931232994659,High-value frequent customers
1,256.4,11,117,Norway,256.4,117.0,0.0,44,0,discovery,5b4633cedb2e,2,0.4882365947748782,0.8817656658536248,Recent occasional customers
5,5059.32,107,1801,Norway,1011.8639999999999,360.2,0.0,43,130,discovery,24bed0f6e37d,0,1.074528528572652,0.2156364001580382,High-value frequent customers
2,806.14,46,394,Australia,403.07,197.0,0.07407407407407407,85,176,discovery,751236e925f7,1,0.6368685003449511,0.672218091133317,Established mid-value customers
2,7829.89,31,2055,Denmark,3914.945,1027.5,0.0,80,188,discovery,64d3dab0c4a7,1,1.5343319902052994,0.5968755211266346,Established mid-value customers
1,509.01,16,211,Norway,509.01,211.0,0.0,100,0,discovery,a3483eede3cc,3,0.9870886186816414,0.1311905934306159,Long-recency customers
18,4951.41,118,2922,France,275.0783333333333,162.33333333333334,0.004975124378109453,2,330,discovery,a8735478a7cf,0,1.0197903093540412,1.731593058104801,High-value frequent customers
2,2906.85,84,1180,Norway,1453.425,590.0,0.0,15,126,discovery,b37890cdced7,1,1.4177174512462016,0.036044885854119135,Established mid-value customers
1,173.55,11,121,France,173.55,121.0,0.0,367,0,discovery,aa39ad4bffa3,3,0.6011547215567845,1.6331204096225538,Long-recency customers
1,172.06,12,182,Spain,172.06,182.0,0.0,4,0,discovery,99be231dbf48,2,1.3218170998656944,1.4747464384228575,Recent occasional customers
5,5005.46,138,1153,Norway,1001.092,230.6,0.0,22,150,discovery,d159b972ec75,0,0.6819821673414093,0.7980017612627051,High-value frequent customers
1,133.4,4,62,Spain,133.4,62.0,0.0,23,0,discovery,6d7bb94fa253,2,0.8227833251270781,1.073711931608817,Recent occasional customers
1,1002.3100000000001,57,351,RSA,1002.3100000000001,351.0,0.0,58,0,discovery,7c551289e5c0,2,1.1814242048398114,0.35905271602832123,Recent occasional customers
1,476.49,26,190,Belgium,476.49,190.0,0.0,244,0,discovery,179acf0eb166,3,0.6539550878700304,1.1817862488033768,Long-recency customers
1,449.45,22,243,Spain,449.45,243.0,0.0,45,0,discovery,9d1d83bbc569,2,0.6003740282021696,0.8642957668703087,Recent occasional customers
4,4067.29,118,1553,Belgium,1016.8225,388.25,0.0,23,165,discovery,3880e649e9df,0,0.7961031812374684,0.4922585859660247,High-value frequent customers
2,197.88,7,128,Spain,98.94,64.0,0.0,157,17,discovery,9288b0e772da,3,0.8432561066326384,0.6702741088898859,Long-recency customers
2,430.57,21,185,Switzerland,215.285,92.5,0.043478260869565216,17,0,discovery,41c9b4932e6e,2,0.7737385468837157,0.5602184331478004,Recent occasional customers
1,707.09,43,473,Austria,707.09,473.0,0.0,135,0,discovery,caf30bba94f3,3,1.0530548073668204,0.4052816931414116,Long-recency customers
6,2466.86,85,2089,Spain,411.1433333333334,348.1666666666667,0.0,74,223,discovery,e49fec5c5ece,1,0.9492452592416855,0.4483456049453932,Established mid-value customers
3,3181.04,105,1633,Switzerland,1060.3466666666666,544.3333333333334,0.031007751937984496,45,210,discovery,3cfd040885f9,1,0.8710190617027421,0.47498389150653464,Established mid-value customers
7,2363.23,53,843,Switzerland,337.6042857142857,120.42857142857143,0.07352941176470588,67,173,discovery,626da768b457,1,1.0288189943214305,0.2829522264354709,Established mid-value customers
2,947.4,35,506,Switzerland,473.70000000000005,253.0,0.0,72,213,discovery,0214afbd4fa2,1,0.5776230386472917,0.7405745980751256,Established mid-value customers
2,826.88,35,287,Switzerland,413.44,143.5,0.0,95,60,discovery,166f1f7d6750,1,0.6670645559702864,0.7138423787000949,Established mid-value customers
2,1189.59,51,536,Spain,594.7950000000001,268.0,0.1388888888888889,19,285,discovery,fb1661b92720,1,1.0731205333313574,0.24255366409934953,Established mid-value customers
4,1344.78,65,776,Belgium,336.195,194.0,0.056818181818181816,54,188,discovery,a04211198c84,1,0.38280635110967487,1.0155202482060173,Established mid-value customers
2,742.1899999999999,46,479,Belgium,371.095,239.5,0.0784313725490196,18,152,discovery,d6e629b6a93f,2,1.0275737545235064,0.10194759065578118,Recent occasional customers
2,729.5400000000001,36,366,Germany,364.77000000000004,183.0,0.05,188,129,discovery,148a49eab456,1,1.100342135026243,0.1416569222062456,Established mid-value customers
30,19788.65,150,8200,Germany,659.6216666666667,273.3333333333333,0.1339622641509434,3,362,discovery,57de3fb73729,0,1.5492409954430753,1.647439324136152,High-value frequent customers
7,6572.11,219,4148,Germany,938.8728571428572,592.5714285714286,0.1329923273657289,33,337,discovery,2f7e20d2d02e,0,0.9232059645979774,0.7084813439487415,High-value frequent customers
5,3928.0499999999997,140,2414,Germany,785.61,482.8,0.06179775280898876,30,162,discovery,8a7f27d70842,0,0.7949731842474728,0.45019839089254576,High-value frequent customers
18,7324.09,253,4833,Germany,406.8938888888889,268.5,0.07252747252747253,18,312,discovery,627daa438fbd,0,0.8857678440570197,1.3081495139269177,High-value frequent customers
1,723.38,36,535,Germany,723.38,535.0,0.0,54,0,discovery,be70d39739fc,2,0.9459451604800324,0.5978770402099256,Recent occasional customers
11,6816.42,177,2408,Germany,619.6745454545454,218.9090909090909,0.11742424242424243,16,346,discovery,35335cad5be9,0,0.6744997003158376,1.3602299974610141,High-value frequent customers
6,13219.74,191,3653,Germany,2203.29,608.8333333333334,0.025974025974025976,23,279,discovery,abc595b42c80,0,1.0977850483980223,0.9314672630476684,High-value frequent customers
1,680.99,36,236,Greece,680.99,236.0,0.0,4,0,discovery,a786395a5b10,2,1.4145919497747952,0.9621339272841245,Recent occasional customers
4,3281.63,129,1707,Germany,820.4075,426.75,0.0,29,308,discovery,c163bd163f37,0,0.88603623396308,0.19486500448446942,High-value frequent customers
10,5579.82,150,3294,Germany,557.9820000000001,329.4,0.004608294930875576,23,343,discovery,bae1c90cb328,0,0.6955622378275432,1.1049001632172015,High-value frequent customers
6,4527.32,256,2187,Spain,754.5533333333333,364.5,0.011527377521613832,33,304,discovery,2fb9b8e13ef0,0,0.8278510137323302,0.5427446840172166,High-value frequent customers
3,1298.66,46,529,France,432.8866666666667,176.33333333333334,0.0,10,66,discovery,97e5cdf7d747,0,1.0987106012429229,0.2152772379011405,High-value frequent customers
1,334.93,15,105,France,334.93,105.0,0.0,337,0,discovery,0741d7d9b1b5,3,0.5606883666007012,1.5415038670074632,Long-recency customers
10,5417.93,131,3064,France,541.793,306.4,0.0,6,324,discovery,d5485e53ba7d,0,0.5450297712438555,1.7131881543795648,High-value frequent customers
1,460.40000000000003,25,260,France,460.40000000000003,260.0,0.0,39,0,discovery,e4c51e79902f,2,0.5656339499907613,1.0044580465593569,Recent occasional customers
2,263.21000000000004,19,192,Germany,131.60500000000002,96.0,0.0,64,42,discovery,bf3b02ece62d,2,0.84353356575101,0.42234223826674555,Recent occasional customers
2,433.74,20,207,France,216.87,103.5,0.043478260869565216,166,32,discovery,001f935eb764,3,0.9749242748599515,0.22323030454532822,Long-recency customers
7,1246.1000000000001,63,707,France,178.01428571428573,101.0,0.08333333333333333,16,350,discovery,ec7a4397c427,0,0.7008716982646498,0.6172688159960239,High-value frequent customers
1,1043.1,14,1236,Germany,1043.1,1236.0,0.0,82,0,discovery,944b3425e9e2,2,1.3481022353262784,0.1773869408786457,Recent occasional customers
3,403.70000000000005,21,159,Germany,134.56666666666666,53.0,0.0,22,36,discovery,f43718ae5c55,1,1.1111137612304312,0.061124305803248236,Established mid-value customers
11,4257.82,34,2678,Germany,387.07454545454544,243.45454545454547,0.06153846153846154,24,310,discovery,4ef96d1ffd73,0,0.6562749935729048,1.058468223693687,High-value frequent customers
1,2169.39,149,1783,Germany,2169.39,1783.0,0.06875,337,0,discovery,a3cd491e4dc2,3,1.846278864213715,0.3427662503911384,Long-recency customers
5,3723.87,102,820,Spain,744.774,164.0,0.0,96,214,discovery,1744079763ff,1,1.1073653981574638,0.5299646661819413,Established mid-value customers
2,482.04999999999995,6,90,Germany,241.02499999999998,45.0,0.4,19,12,discovery,f472f62483b3,2,0.7872255163705781,0.4451223381169165,Recent occasional customers
1,73.5,23,23,France,73.5,23.0,0.0,233,0,discovery,00a9ccc47200,3,1.0952269388057168,1.0745485070671716,Long-recency customers
3,1304.81,19,894,Spain,434.93666666666667,298.0,0.043478260869565216,135,164,discovery,8db0942b6740,1,0.6278443425167596,1.3400069604603315,Established mid-value customers
2,397.88,57,271,France,198.94,135.5,0.0,27,3,discovery,3cb145396118,2,0.6539971233855901,0.5156521563322309,Recent occasional customers
1,176.5,7,55,France,176.5,55.0,0.0,285,0,discovery,fcdf9afbeb92,3,0.4048494656391211,1.585754886006392,Long-recency customers
2,982.5699999999999,29,353,Spain,491.28499999999997,176.5,0.0,143,183,discovery,e16613e249f0,1,0.866780925156215,0.609248876013064,Established mid-value customers
2,132.18,31,96,Israel,66.09,48.0,0.0,67,0,discovery,4f6f9cb4105a,2,1.1270207095363742,0.2576053308298807,Recent occasional customers
1,612.29,35,462,France,612.29,462.0,0.027777777777777776,113,0,discovery,a06f8b0b2353,3,1.0319994211181143,0.24127137189655778,Long-recency customers
1,383.7,16,131,Italy,383.7,131.0,0.0,354,0,discovery,128035c3b8a3,3,0.6671087380843237,1.492348261539012,Long-recency customers
5,2481.6,232,1361,Germany,496.32,272.2,0.0071174377224199285,29,162,discovery,f02ca5107075,0,0.7661187927166503,0.2668074738157272,High-value frequent customers
5,2056.89,84,1318,Germany,411.378,263.6,0.0,1,110,discovery,709a2845c4b3,0,1.0886155595726819,1.3066983901972309,High-value frequent customers
1,330.84,17,175,Germany,330.84,175.0,0.0,64,0,discovery,d82472465102,2,0.6979382783203317,0.42642995205264345,Recent occasional customers
2,192.72,11,194,Germany,96.36,97.0,0.0,40,12,discovery,588b8a56b01d,2,0.7435950464349819,0.8226244539747862,Recent occasional customers
11,1789.77,84,865,France,162.70636363636365,78.63636363636364,0.03636363636363636,20,312,discovery,5beb8169adcc,0,0.6326324083009275,0.874197940396834,High-value frequent customers
3,1316.66,64,632,Germany,438.8866666666666,210.66666666666666,0.0,1,94,discovery,473ffe4ad6e9,0,1.4782991996261114,0.8107351584713944,High-value frequent customers
3,348.71000000000004,18,234,Germany,116.23666666666668,78.0,0.0,82,244,discovery,805eb400155b,1,0.905835394205789,0.47246092001830775,Established mid-value customers
6,1933.48,50,756,Germany,322.24666666666667,126.0,0.031578947368421054,10,303,discovery,853b1581d55e,0,0.3628860263130904,1.1846082762190602,High-value frequent customers
4,1662.28,51,913,Germany,415.57,228.25,0.029411764705882353,60,277,discovery,04b40e198358,1,0.4631322980884313,0.9465457574844864,Established mid-value customers
1,125.22,17,45,Germany,125.22,45.0,0.0,15,0,discovery,5fe2cfc0cdbf,2,0.9685470685185045,1.2121743426316167,Recent occasional customers
1,349.83000000000004,16,153,France,349.83000000000004,153.0,0.0,31,0,discovery,4433d797b561,2,0.3980480104941772,1.261860903699305,Recent occasional customers
1,1089.18,63,651,Germany,1089.18,651.0,0.0,131,0,discovery,97b0bbfea3fe,3,1.3718303130759055,0.2622803588264375,Long-recency customers
2,716.35,28,219,France,358.17499999999995,109.5,0.0,92,95,discovery,7e0b31f11a80,1,0.6951075870648745,0.600281496467488,Established mid-value customers
3,12601.830000000002,260,2803,France,4200.610000000001,934.3333333333334,0.04395604395604396,44,16,discovery,470dfd2e4033,0,1.6244364012575696,0.11661035190956359,High-value frequent customers
4,5568.35,157,2067,Spain,1392.0875,516.75,0.0036496350364963502,23,311,discovery,ae05fdde9476,0,0.8732231608375257,0.5818239857090505,High-value frequent customers
17,13400.24,277,6685,Spain,788.2494117647059,393.2352941176471,0.006237006237006237,20,342,discovery,3f89eb7fc2cb,0,1.179801151602325,1.22538719899067,High-value frequent customers
3,981.18,46,680,Spain,327.06,226.66666666666666,0.0,30,251,discovery,a07d91c94ec4,1,0.5954553383033685,0.8179766438335481,Established mid-value customers
1,372.7,19,136,Spain,372.7,136.0,0.05,37,0,discovery,23bd6fc6dfed,2,0.4508121391103109,1.0988329325116957,Recent occasional customers
2,1161.5,59,633,Spain,580.75,316.5,0.014285714285714285,47,31,discovery,603f85b598dd,1,0.6321457330525713,0.6797264355402051,Established mid-value customers
2,207.79999999999998,7,134,Spain,103.9,67.0,0.0,198,83,discovery,a402c839c5dc,3,0.7849149601367077,0.9109306998311356,Long-recency customers
1,95.19999999999999,5,49,Spain,95.19999999999999,49.0,0.0,167,0,discovery,3209ac0357e5,3,0.8835980679025596,0.8956352715628387,Long-recency customers
1,964.83,57,569,Spain,964.83,569.0,0.0,80,0,discovery,dd3742c048ff,2,1.2903585247070157,0.1983396714149357,Recent occasional customers
1,168.0,10,100,Spain,168.0,100.0,0.0,358,0,discovery,98ecdc55e4ff,3,0.5944318756209939,1.6223490216989627,Long-recency customers
2,437.82,20,88,Italy,218.91,44.0,0.0,39,1,discovery,505be2eb155c,2,0.7167580314810771,0.2670939108394237,Recent occasional customers
10,3692.28,95,1965,France,369.22799999999995,196.5,0.025510204081632654,9,321,discovery,4d133768ce82,0,0.2793222826775272,1.6980727201912953,High-value frequent customers
2,599.56,100,355,Spain,299.78,177.5,0.0,51,101,discovery,f8a3b34e4876,1,0.7438013064458757,0.19332386768347587,Established mid-value customers
5,11990.960000000001,15,4384,Spain,2398.192,876.8,0.0,17,355,discovery,3427a4865c11,0,1.0102070191163655,1.0035729159130644,High-value frequent customers
1,269.96,11,196,USA,269.96,196.0,0.5,8,0,discovery,1137207ddbcd,2,0.9039020467669916,1.4695358540148304,Recent occasional customers
2,561.71,21,283,Germany,280.855,141.5,0.045454545454545456,311,9,discovery,8a012b7014c3,3,1.1296624262941726,0.44069298215947894,Long-recency customers
3,2134.01,91,1110,Germany,711.3366666666667,370.0,0.05405405405405406,6,138,discovery,2702301a5c22,0,0.989717522014573,0.6824688682769492,High-value frequent customers
1,238.85,16,177,Germany,238.85,177.0,0.0,303,0,discovery,43da63369a17,3,0.36998119484684916,1.6347287451129604,Long-recency customers
7,3781.7400000000002,99,1779,France,540.2485714285714,254.14285714285714,0.0,9,190,discovery,3adfffea1bd0,0,0.17533663740197386,1.6747044880622948,High-value frequent customers
1,456.9,21,133,France,456.9,133.0,0.0,262,0,discovery,c636ff1a9f21,3,0.6361685342672762,1.2576522806820098,Long-recency customers
1,145.92,9,80,Saudi Arabia,145.92,80.0,0.1,289,0,discovery,9950bb8a5553,3,0.5366374254747716,1.5138978191924886,Long-recency customers
10,9401.28,323,4305,France,940.128,430.5,0.0367170626349892,23,347,discovery,e77246b86421,0,0.9337450656997895,1.1043709935639976,High-value frequent customers
32,4124.69,92,1801,Germany,128.89656250000002,56.28125,0.015706806282722512,3,250,discovery,966fe51902a8,0,1.0222336706634392,1.6897841783610488,High-value frequent customers
2,519.61,31,523,France,259.805,261.5,0.0,40,82,discovery,263013af6723,2,0.798219609282317,0.0826530014631286,Recent occasional customers
2,1020.42,53,452,Germany,510.21000000000004,226.0,0.03225806451612903,9,43,discovery,b43caa0c7198,2,1.4003027822766247,0.07651681819595413,Recent occasional customers
1,218.45,11,61,France,218.45,61.0,0.0,316,0,discovery,916acb974330,3,0.40877065654161643,1.6451867218147436,Long-recency customers
5,1315.83,72,967,Poland,263.166,193.4,0.011235955056179775,36,269,discovery,d21ba9de25f1,1,0.7193897432082265,0.3596293346149254,Established mid-value customers
2,2794.51,111,1196,Italy,1397.255,598.0,0.05,22,309,discovery,ea948a22f7dd,1,1.2262296183296524,0.2879887431659425,Established mid-value customers
1,440.42,29,285,France,440.42,285.0,0.06451612903225806,79,0,discovery,9bd82d88f3ae,2,0.9056892734528538,0.16192227475760734,Recent occasional customers
1,415.7,24,238,Germany,415.7,238.0,0.0,247,0,discovery,d36974ffef4f,3,0.5503541127549816,1.2748975572783867,Long-recency customers
1,197.71,15,161,Germany,197.71,161.0,0.0,40,0,discovery,9bd25c43bdca,2,0.5588938572203117,0.8861745060304964,Recent occasional customers
2,511.36,21,300,Finland,255.68,150.0,0.0,239,50,discovery,cf7c77c0d868,3,1.0288205944453326,0.35277686631972216,Long-recency customers
15,7281.38,115,5060,France,485.42533333333336,337.3333333333333,0.01593625498007968,3,371,discovery,b36f3ca231d4,0,0.9776589307482662,1.7273861482906454,High-value frequent customers
9,2338.15,44,416,Italy,259.7944444444445,46.22222222222222,0.23809523809523808,4,277,discovery,dec97ea7e804,0,0.5516184096690517,1.590012216719986,High-value frequent customers
2,2040.1,77,1279,Germany,1020.05,639.5,0.10309278350515463,235,117,discovery,786e5cb76305,1,1.3440457738438276,0.5640935698913951,Established mid-value customers
1,196.94000000000003,11,79,Italy,196.94000000000003,79.0,0.08333333333333333,18,0,discovery,da0d9662b34f,2,0.6123453398665923,1.3831940061762693,Recent occasional customers
1,144.0,4,51,Finland,144.0,51.0,0.0,8,0,discovery,924136fe1394,2,1.1075416266593876,1.4079001775491402,Recent occasional customers
1,214.89999999999998,10,53,Finland,214.89999999999998,53.0,0.0,40,0,discovery,67aafbba578c,2,0.514592723786869,0.9248802583233791,Recent occasional customers
2,646.68,29,306,France,323.34000000000003,153.0,0.0,29,116,discovery,abfb908a55b9,2,0.8882058139005867,0.030002283162790078,Recent occasional customers
2,9864.26,68,4283,Germany,4932.13,2141.5,0.02857142857142857,212,0,discovery,d82be9056ff4,1,1.9456793261585574,0.8727920921656735,Established mid-value customers
2,437.6,11,290,Germany,218.8,145.0,0.0,93,121,discovery,2901605e7b3a,1,0.9413246239865052,0.18214449220346007,Established mid-value customers
3,418.09999999999997,14,206,France,139.36666666666667,68.66666666666667,0.0,109,110,discovery,30084f087232,1,0.8443936680736471,0.6818793302714906,Established mid-value customers
4,3811.22,184,2236,Spain,952.805,559.0,0.037383177570093455,20,249,discovery,191da523f7fe,0,0.7287503458681674,0.586221016981334,High-value frequent customers
8,3023.08,84,1964,France,377.885,245.5,0.007518796992481203,10,275,discovery,15385d5ec54f,0,0.07146233058298594,1.713145318615942,High-value frequent customers
7,1032.58,32,956,France,147.51142857142855,136.57142857142858,0.0,30,275,discovery,cc374b04b578,1,1.0187202913174644,0.03278908551150739,Established mid-value customers
5,577.0600000000001,21,245,Germany,115.41199999999999,49.0,0.034482758620689655,190,143,discovery,812965f48301,1,1.1482205084899328,0.873676535909383,Established mid-value customers
1,153.12,12,162,France,153.12,162.0,0.0,59,0,discovery,deecc359d942,2,0.8675389566125759,0.3380096268951899,Recent occasional customers
2,254.18,15,201,France,127.09,100.5,0.0,80,182,discovery,36b96ef1b0eb,2,0.9805822664272884,0.19606219421386173,Recent occasional customers
1,1579.51,101,1228,USA,1579.51,1228.0,0.5,61,0,discovery,112e239f81d7,2,1.49865941286981,0.07166453945912532,Recent occasional customers
3,1126.85,57,648,Germany,375.6166666666666,216.0,0.0,79,240,discovery,51e410b7c6ab,1,0.16536714308368428,1.5735504599458123,Established mid-value customers
5,2099.54,85,1049,Italy,419.908,209.8,0.04504504504504504,23,104,discovery,11f83ab9997b,0,0.6675202957615559,0.40512662089474605,High-value frequent customers
1,1193.32,65,846,Italy,1193.32,846.0,0.0,53,0,discovery,fd4ee847aeb4,2,1.2710681743516699,0.2789191260216197,Recent occasional customers
1,315.6,20,76,Germany,315.6,76.0,0.0,278,0,discovery,0793780c5635,3,0.40239363535664463,1.5118940399446887,Long-recency customers
4,2291.19,82,1376,France,572.7975,344.0,0.0,3,166,discovery,dbecf7379f1e,0,0.872095284709099,1.1462197086144406,High-value frequent customers
2,713.3,25,284,France,356.65,142.0,0.1111111111111111,96,202,discovery,6c4776407ad8,1,0.7112706544687584,0.6067134528829898,Established mid-value customers
1,352.98,39,210,France,352.98,210.0,0.0,30,0,discovery,07389c6b0e07,2,0.39932663360646353,1.2848211887804541,Recent occasional customers
1,177.31,11,96,Italy,177.31,96.0,0.0,22,0,discovery,7e5ee2ca61d0,2,0.6177149438582923,1.2559210402356251,Recent occasional customers
